,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
3021,2017-04-12,687363,142,139524520,982567.0422535209,2.24625621,19786756714.34474,8808771079.701511,499635929816.666,0.000767590297518927,0.9334775894389072,0.00041174,0.5007229298206424,212.202640519734,258062.68003283086,3526859.22387288,1775.0,3.98190621863209,2158603.0029427316,1775.0,2158603.0029427316,38.86507865,45.38073066266457,1,1216.11436785506,184.51933944051584,-1.8784894332867577,16270473.59800866,20147659.375,13514083.54868116,276453,707738,418639.92470937,509114027.3968255,2.08396801165571,2534.3434411248495,0.021,25.53840172495626,1474903.35263319,1793651158.33482,0.033725696709523,0.04613661802748252,0.03958565371993358
3022,2017-04-13,611405,127,123569413,972987.503937008,2.16504122,19079940944.324066,8812737939.886147,518641452927.09204,0.0009564626849528269,1.12150829783837,0.00043099999999999996,0.5053726444039764,218.775535779716,256527.07899742885,3274289.42119579,1587.5,3.5609348840935295,1861436.364248985,1587.5,1861436.364248985,39.70944866,43.605210765869074,1,1172.5583396844,175.97886181910673,-5.934701578320539,16272061.09800859,20148056.25,13515674.86232804,228734,593397,409778.06665119,480488689.4716026,2.3361831843858303,2739.311075882064,0.021529065,25.24408471135753,1386284.093065,1625498974.4951906,0.033853494560287224,0.04657716038880142,0.03990158552322656
3023,2017-04-14,696528,139,138320860,995114.1007194241,2.16522828,19110862529.702187,8826257579.229212,520808749422.141,0.000805579710820765,0.9460190266885136,0.00044880000000000007,0.5270407552161763,230.96614772949903,271231.22310322215,3598646.52693503,1737.5,3.89698505963819,2040403.9932890076,1737.5,2040403.9932890076,32.37517613,43.297939578959074,1,1174.33323354763,175.75790710019515,-6.699086750020053,16273798.59800848,20148490.625,13517494.36515291,286708,766488,502662.85913724,590293700.7549319,2.04283498119971,2398.9690090764684,0.0161696,18.98849865317176,1565808.4990698,1838780957.828999,0.03385134786804593,0.046530215772187515,0.039884874890843316
3024,2017-04-15,681237,150,147930291,986201.94,2.1659083999999997,19133066482.241875,8833737591.114101,520808749422.141,0.000743399666091304,0.8739125387812837,0.0004,0.47022487560490794,199.837724639838,234921.67302483923,3883431.50388672,1875.0,4.20489509014137,2204179.104398006,1875.0,2204179.104398006,43.04242224,43.118592089695376,1,1175.56218901227,172.92675729737925,-0.20870272164790893,16275673.59776844,20148959.375,13518621.96927138,268816,733353,378130.98684799,444516490.63239294,1.5135222084362001,1779.2394804679443,0.0126,14.812083581554601,1109946.05212331,1304810610.7196057,0.03384472195887773,0.04493860517995454,0.03986579261678453
3025,2017-04-16,589650,146,135864527,930578.952054795,2.16125164,19104759790.45048,8839673951.839369,520808749422.141,0.00075144839819175,0.8819685073934124,0.0003668,0.43050999814541263,159.577581839948,187294.83223000393,3779873.33044974,1825.0,4.092305681975749,2141986.76830801,1825.0,2141986.76830801,48.94736539,42.991788373339226,1,1173.6913798947999,171.55184672641806,9.477706996693831,16277498.59776841,20149415.625,13510654.20278334,212360,610185,332551.06719925,390312320.94657606,1.6502112879916102,1936.8387637208477,0.01012581,11.884575911452565,1006934.17476316,1181829961.0410044,0.03384011506576353,0.04127888531306676,0.03986915945606652
3026,2017-04-17,613136,138,128057488,927952.811594203,2.18766073,19403226165.03447,8869394536.073856,520808749422.141,0.000732132054086379,0.87262907489376,0.0004068000000000001,0.4848654087543877,182.415826199866,217421.64241314496,3572756.98357579,1725.0,3.8676598808208102,2056029.5725204488,1725.0,2056029.5725204488,34.6100184,43.504564024838686,1,1191.90120146113,177.6124489369086,23.82500702947999,16279223.59776834,20149846.875,13510894.408118902,249157,662120,470361.59904166,560624555.0189328,2.21638912807163,2641.7168646539612,0.0181,21.573411746446453,1467515.56947879,1749133570.424684,0.03383819195438818,0.03561864192275555,0.03982048003571236
3027,2017-04-18,713650,146,140262703,960703.445205479,2.20166725,19571960689.193977,8889608855.055061,520808749422.141,0.000721208147078521,0.8669870013951175,0.00041174,0.4949656065318415,220.758207779664,265380.38619163475,3779873.33044974,1825.0,4.0914133754954305,2193889.910916138,1825.0,2193889.910916138,38.178258299999996,43.746795587090254,1,1202.13145803624,179.7886787915458,17.830581569991523,16281048.59776821,20150303.125,13508258.78636667,306095,678602,426448.17556848,512646767.07303125,2.48420390347565,2986.339660544502,0.0333333,40.0710085301594,1685785.73730638,2026536066.3248162,0.03383797571130597,0.03429402751490253,0.039754943108144015
3028,2017-04-19,718648,143,140740995,984202.762237762,2.21134437,19695082029.62051,8906383968.882917,520808749422.141,0.000680903932002096,0.8235947788549338,0.0004068000000000001,0.4920493777338851,210.525963119655,254643.97529462405,3702204.70037201,1787.5,4.00690331882313,2162090.1246295962,1787.5,2162090.1246295962,41.89536336,43.889216389092844,1,1209.56090888369,176.42764130643002,16.55538544150927,16282836.09776807,20150750.0,13509826.49619939,309186,683606,388654.84841506,470101711.6909727,1.9652936778925703,2377.142407255107,0.03111108,37.630746201153194,1343486.54996943,1625028812.454037,0.033838513196771836,0.03422487591683252,0.03975835132373999
3029,2017-04-20,687821,138,134412753,974005.456521739,2.25276621,20124510671.79503,8933244188.989391,520808749422.141,0.000857263234519622,1.0594085408904483,0.00045599999999999997,0.5635262019801305,228.86099392961899,282827.11993542954,3572756.98357579,1725.0,3.86639219945757,2131760.303543257,1725.0,2131760.303543257,37.83709593,44.66399486621937,1,1235.80307451783,179.17554305845073,11.151535731128638,16284561.09776791,20151181.25,13510920.86860876,266967,587758,430386.12500903,531872496.5159743,2.54776926631692,3148.5410924764856,0.032494999999999996,40.15742090645689,1497471.7684318998,1850580215.4317937,0.03377413586609724,0.03221008142081632,0.039832197861179836
3030,2017-04-21,782123,167,161982287,969953.8143712571,2.26940479,20314924259.503902,8951653024.70999,520808749422.141,0.000737956734284558,0.9204800529579982,0.00041174,0.5135781535652784,238.790253949642,297851.6969758612,4323553.74099389,2087.5,4.67829520251593,2603814.04664963,2087.5,2603814.04664963,40.05666413,44.82092138600925,1,1247.3360702513198,175.85878829383213,20.248045860879603,16286648.59776784,20151703.125,13512903.715911802,323583,750484,406590.23790092,507154669.5458828,1.7327772143822,2161.3555212085225,0.03111108,38.80597226847444,1300421.57495841,1622062736.9786556,0.03377223273297016,0.02912527130990778,0.03970445683848327
